Price,Location,Size,Bedrooms,Bathrooms,Property Type,Tenure,24 hours security,Badminton hall,Basketball court,Bbq,Bus stop,Business centre,Cafes,Clubhouse,Community garden,Covered car park,Covered linkways,Drop off point,Eateries,Gym,Jacuzzi,Jogging track,Landscaped garden,Laundry,Lounge,Multi-purpose hall,Multi-storey car park,Nursery,Parking,Perimeter fencing,Pet-friendly facilities,Playground,Recreation lake,Recreation room,Retail stores,Sauna,Sky lounge,Solar panels,Surau,Swimming pool,Tennis courts,Wading pool,Property Tier
265000.0,Semenyih,800.0,3.0,2.0,Apartment,Freehold,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,Budget
265000.0,Bangi,931.0,3.0,2.0,Apartment,Freehold,1,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Budget
475000.0,Subang Jaya,732.0,2.0,2.0,Apartment,Freehold,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Mid-range
332552.0,Semenyih,967.0,3.0,3.0,Apartment,Freehold,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Mid-range
252525.0,Semenyih,850.0,3.0,2.0,Apartment,Freehold,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,Mid-range
323000.0,Ulu Kelang,840.0,3.0,2.0,Apartment,Freehold,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Mid-range
140000.0,Seri Kembangan,621.0,3.0,1.0,Apartment,Leasehold,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Budget
230000.0,Seri Kembangan,800.0,3.0,2.0,Apartment,Leasehold,1,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Budget
235000.0,Ampang,892.0,3.0,2.0,Apartment,Leasehold,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Budget
310000.0,Batu Caves,1098.0,3.0,2.0,Apartment,Leasehold,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,Budget
139000.0,Selayang,650.0,2.0,1.0,Apartment,Freehold,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Budget
249000.0,Kepong,911.0,3.0,2.0,Apartment,Freehold,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,Budget
320000.0,Batu Caves,1101.0,3.0,2.0,Apartment,Leasehold,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,Budget
298000.0,Bandar Kinrara,1052.0,3.0,2.0,Apartment,Leasehold,1,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Mid-range
248000.0,Bandar Kinrara,852.0,3.0,2.0,Apartment,Leasehold,1,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Budget
300000.0,Bandar Kinrara,1052.0,3.0,2.0,Apartment,Leasehold,1,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Budget
240000.0,Ampang,806.0,3.0,2.0,Apartment,Leasehold,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Budget
200000.0,Seri Kembangan,790.0,3.0,2.0,Apartment,Leasehold,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Budget
185000.0,Selayang,667.0,3.0,1.0,Apartment,Leasehold,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Budget
280000.0,Puchong,850.0,3.0,2.0,Apartment,Freehold,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,Budget
531000.0,Ara Damansara,1024.0,3.0,2.0,Apartment,Freehold,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Mid-range
257000.0,Selayang,825.0,3.0,2.0,Apartment,Leasehold,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,Budget
250000.0,Bandar Kinrara,800.0,3.0,2.0,Apartment,Leasehold,1,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Budget
185000.0,Seri Kembangan,872.0,3.0,2.0,Apartment,Freehold,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Budget
175000.0,Kajang,854.0,3.0,2.0,Apartment,Freehold,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Budget
850000.0,Klang,1400.0,4.0,4.0,Apartment,Freehold,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Mid-range
239000.0,Puchong,810.0,3.0,2.0,Apartment,Leasehold,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,Budget
230000.0,Puchong,810.0,3.0,2.0,Apartment,Leasehold,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,Budget
