Price,Location,Posted,Size (sqft),Bedrooms,Bathrooms,Property Type,Tenure,URL
"RM 1,180,000","Jalan Cendana, KLCC, KL City Centre, Kuala Lumpur","Listed on Aug 15, 2025 (1h ago)","2,013 sqft",3 Beds,4 Baths,Completion: 2013,Leasehold,https://www.propertyguru.com.my/property-listing/fraser-residence-188-suites-for-sale-by-jason-tang-60365798
"RM 650,000","366 Jalan Sungai Besi, Taman Tasik Pinggiran, Sungai Besi, Kuala Lumpur","Listed on Aug 15, 2025 (2h ago)","1,115 sqft",3 Beds,2 Baths,Completion: 2015,Freehold,https://www.propertyguru.com.my/property-listing/central-residence-sungai-besi-for-sale-by-kenji-lian-500013716
"RM 357,777","366 Jalan Sungai Besi, Taman Tasik Pinggiran, Sungai Besi, Kuala Lumpur","Listed on Aug 15, 2025 (2h ago)",731 sqft,2 Beds,2 Baths,Completion: 2015,Freehold,https://www.propertyguru.com.my/property-listing/central-residence-sungai-besi-for-sale-by-kenji-lian-60127288
"RM 798,000","Papyrus North Kiara Sales Gallery No.3, Jalan Dutamas Dahlia, Mont Kiara, Kuala Lumpur","Listed on Aug 15, 2025 (2h ago)","1,141 sqft",4 Beds,3 Baths,Completion: 2028,Freehold,https://www.propertyguru.com.my/property-listing/papyrus-north-kiara-for-sale-by-yvonne-yep-43214383
"RM 698,000","Jalan Cheras, Cheras, Kuala Lumpur","Listed on Aug 15, 2025 (2h ago)",624 sqft,2 Beds,1 Bath,Completion: 2018,Freehold,https://www.propertyguru.com.my/property-listing/v-residence-suites-sunway-velocity-for-sale-by-koo-ying-kang-60077457
"RM 348,000","- Jalan 2/1, Kepong, Kuala Lumpur","Listed on Aug 15, 2025 (2h ago)","1,088 sqft",3 Beds,2 Baths,Apartment,Leasehold,https://www.propertyguru.com.my/property-listing/hijau-ria-kepong-indah-for-sale-by-see-hui-tan-500026259
"RM 135,000","- Jalan 1/125G, Desa Petaling, Kuala Lumpur","Listed on Aug 15, 2025 (2h ago)",610 sqft,2 Beds,1 Bath,Completion: 2001,Leasehold,https://www.propertyguru.com.my/property-listing/desa-sri-puteri-for-sale-by-sandy-lee-60131866
"RM 238,000","Jalan 1/125G, Desa Petaling, Kuala Lumpur","Listed on Aug 15, 2025 (2h ago)",831 sqft,3 Beds,2 Baths,Apartment,Leasehold,https://www.propertyguru.com.my/property-listing/desa-sri-puteri-b-for-sale-by-sandy-lee-60123002
"RM 159,000","Jalan 8/40, Segambut, Kuala Lumpur","Listed on Aug 15, 2025 (2h ago)",850 sqft,3 Beds,2 Baths,Apartment,Leasehold,https://www.propertyguru.com.my/property-listing/greenview-apartment-for-sale-by-johnny-tai-39165719
"RM 240,000","Jalan 1/127 Jalan 1/127, Off Jalan Selesa,, Kuchai Lama, Kuala Lumpur","Listed on Aug 15, 2025 (2h ago)",764 sqft,4 Beds,1 Bath,Completion: 2013,Freehold,https://www.propertyguru.com.my/property-listing/happy-garden-apartment-for-sale-by-johnny-tai-42553751
"RM 499,000","- Jalan Prima 1, Metro Prima, Kepong, Kuala Lumpur","Listed on Aug 15, 2025 (2h ago)",861 sqft,3 Beds,2 Baths,Completion: 2004,Leasehold,https://www.propertyguru.com.my/property-listing/vista-magna-for-sale-by-johnny-tai-42553781
"RM 250,000","- Jalan Sri Hartamas 17, Taman Sri Hartamas, Sri Hartamas, Kuala Lumpur","Listed on Aug 15, 2025 (2h ago)",429 sqft,1 Bed,1 Bath,Completion: 2003,Freehold,https://www.propertyguru.com.my/property-listing/dorchester-for-sale-by-cherry-tan-42995077
"RM 360,000","- Jalan Taman Melati, Taman Melati, Setapak, Kuala Lumpur","Listed on Aug 15, 2025 (2h ago)",818 sqft,3 Beds,2 Baths,Completion: 2024,Freehold,https://www.propertyguru.com.my/property-listing/kenari-apartment-for-sale-by-norfazilah-binti-mohd-saad-43231393
