Price,Location,Posted,Size (sqft),Bedrooms,Bathrooms,Property Type,Tenure,URL
"RM 1,650,000","Taman Cheras, Taman Cheras, Cheras, Kuala Lumpur","Listed on Aug 12, 2025 (3d ago)","4,500 sqft (floor),",6 Beds,3 Baths,Bungalow,Freehold,https://www.propertyguru.com.my/property-listing/taman-cheras-yulek-bungalow-for-sale-by-kent-fatt-60332223
"RM 2,400,000","Jalan Anjung, KL City Centre, Kuala Lumpur","Listed on Aug 11, 2025 (3d ago)","4,530 sqft (floor),",7 Beds,9 Baths,Bungalow,Freehold,https://www.propertyguru.com.my/property-listing/anjung-melati-for-sale-by-mohd-syahidie-60129343
"RM 11,250,000","Bukit Damansara, Damansara Heights, Kuala Lumpur","Listed on Aug 11, 2025 (4d ago)","9,214 sqft (floor),",7 Beds,6 Baths,Bungalow,Freehold,https://www.propertyguru.com.my/property-listing/damansara-heigts-for-sale-by-james-thong-43068083
"RM 8,500,000","Bukit Damansara, Damansara Heights, Kuala Lumpur","Listed on Aug 11, 2025 (4d ago)","9,900 sqft (floor),",6 Beds,9 Baths,Bungalow,Freehold,https://www.propertyguru.com.my/property-listing/bukit-damansara-for-sale-by-james-thong-42817678
"RM 4,750,000","Taman Tun Dr Ismail, Kuala Lumpur","Listed on Aug 11, 2025 (4d ago)","5,000 sqft",5 Beds,4 Baths,Bungalow,Freehold,https://www.propertyguru.com.my/property-listing/taman-tun-dr-ismail-for-sale-by-khoo-guat-mei-60173873
"RM 5,000,000","Bandar Baru Sri Petaling, Sri Petaling, Kuala Lumpur","Listed on Aug 10, 2025 (5d ago)","8,000 sqft (floor),",6 Beds,6 Baths,Bungalow,Freehold,https://www.propertyguru.com.my/property-listing/bandar-baru-sri-petaling-for-sale-by-daniya-subramaniam-42957889
"RM 14,000,000","Taman U Thant, Ampang, Kuala Lumpur","Listed on Aug 10, 2025 (5d ago)","5,610 sqft (floor),",7 Beds,4 Baths,Bungalow,Freehold,https://www.propertyguru.com.my/property-listing/jalan-u-thant-for-sale-by-daniya-subramaniam-33259225
"RM 5,000,000","Jalan Setia Bakti, Damansara Heights, Kuala Lumpur","Listed on Aug 10, 2025 (5d ago)","3,500 sqft (floor),",6 Beds,5 Baths,Bungalow,Freehold,https://www.propertyguru.com.my/property-listing/jalan-setia-bakti-damansara-heights-for-sale-by-pealy-yap-41737147
"RM 5,700,000","Lorong Travers, Bukit Persekutuan, Federal Hill, Bangsar, Kuala Lumpur","Listed on Aug 10, 2025 (5d ago)","4,000 sqft (floor),",7 Beds,5 Baths,Bungalow,Freehold,https://www.propertyguru.com.my/property-listing/federal-hill-bungalow-for-sale-by-pealy-yap-60309318
"RM 6,800,000","Jalan Changkat Datuk Sulaiman, KL City Centre, Kuala Lumpur","Listed on Aug 09, 2025 (5d ago)","7,500 sqft (floor),",9 Beds,8 Baths,Bungalow,Freehold,https://www.propertyguru.com.my/property-listing/ttdi-hills-for-sale-by-pealy-yap-41694277
"RM 5,500,000","Jalan titiwangsa, Titiwangsa, Kuala Lumpur","Listed on Aug 09, 2025 (6d ago)","6,677 sqft (floor),",4 Beds,4 Baths,Bungalow,Freehold,https://www.propertyguru.com.my/property-listing/1-5-storey-charming-bungalow-at-titiwangsa-for-sale-for-sale-by-lk-ong-41194132
"RM 13,400,000","Jalan Titiwangsa, Titiwangsa, Kuala Lumpur","Listed on Aug 09, 2025 (6d ago)","7,500 sqft (floor),",5 Beds,8 Baths,Bungalow,Leasehold,https://www.propertyguru.com.my/property-listing/oasis-in-titiwangsa-for-sale-for-sale-by-lk-ong-36160522
"RM 500,000","KLCC, KL City Centre, Kuala Lumpur","Listed on Aug 09, 2025 (6d ago)","1,178 sqft",3 Beds,2 Baths,Completion: 2027,Freehold,https://www.propertyguru.com.my/property-listing/klcc-foreigner-mm2h-0-downpayment-freehold-fully-furnish-mrt-condo-for-sale-by-kevin-ooi-60224625
