Price,Location,Posted,Size (sqft),Bedrooms,Bathrooms,Property Type,Tenure,URL
"RM 2,600,000","Jalan Hujan Gerimis, Taman Overseas Union (Taman Oug), Jalan Klang Lama (Old Klang Road), Kuala Lumpur","Listed on Aug 13, 2025 (2d ago)","3,660 sqft (floor),",6 Beds,4 Baths,Completion: 1970,Freehold,https://www.propertyguru.com.my/property-listing/taman-oug-for-sale-by-irene-wan-60273822
"RM 2,350,000","Jalan Desa Mesra / Jalan Desa Maju, Danau Desa, Taman Desa, Kuala Lumpur","Listed on Aug 13, 2025 (2d ago)","2,500 sqft (floor),",5 Beds,4 Baths,Semi-Detached House,Freehold,https://www.propertyguru.com.my/property-listing/taman-desa-2-storey-semi-d-for-sale-by-joey-lim-60226022
"RM 3,100,000","Lake Fields, Sungai Besi, Kuala Lumpur","Listed on Aug 13, 2025 (2d ago)","3,800 sqft (floor),",5 Beds,6 Baths,Semi-Detached House,Leasehold,https://www.propertyguru.com.my/property-listing/grove-lake-fields-for-sale-by-angel-yeoh-42794037
"RM 3,490,000","Jalan 6/4, Taman Melawati, Ulu Kelang, Kuala Lumpur","Listed on Aug 13, 2025 (2d ago)","4,500 sqft",4 Beds,7 Baths,Semi-Detached House,Freehold,https://www.propertyguru.com.my/property-listing/sunway-montana-for-sale-by-allana-amir-31071687
"RM 2,300,000","Jalan Melawati 5A, KL City Centre, Kuala Lumpur","Listed on Aug 13, 2025 (2d ago)","4,221 sqft (floor),",6 Beds,6 Baths,Completion: 2009,Freehold,https://www.propertyguru.com.my/property-listing/riverview-riverview-kemensah-for-sale-by-david-chung-41407903
"RM 2,400,000","Jln Damai Impian, Alam Damai, Cheras, Kuala Lumpur","Listed on Aug 13, 2025 (2d ago)","3,500 sqft (floor),",5 Beds,6 Baths,Semi-Detached House,Leasehold,https://www.propertyguru.com.my/property-listing/damai-impian-for-sale-by-angel-yeoh-43390970
"RM 2,500,000","Damai Impian, Damai Kasih, Alam Damai, Cheras, Kuala Lumpur","Listed on Aug 13, 2025 (2d ago)","4,600 sqft (floor),",5 Beds,6 Baths,Semi-Detached House,Leasehold,https://www.propertyguru.com.my/property-listing/alam-damai-for-sale-by-angel-yeoh-60035179
"RM 5,300,000","- Lorong Jelutong, Damansara Heights, Damansara Heights, Kuala Lumpur","Listed on Aug 13, 2025 (2d ago)","4,800 sqft (floor),",6 Beds,7 Baths,Completion: 1996,Freehold,https://www.propertyguru.com.my/property-listing/jelutong-villas-for-sale-by-jen-lau-42148979
"RM 3,400,000","Jalan Anjung Tiara, Segambut, Kuala Lumpur","Listed on Aug 13, 2025 (2d ago)","4,500 sqft (floor),",5 Beds,6 Baths,Completion: 2008,Freehold,https://www.propertyguru.com.my/property-listing/anjung-tiara-for-sale-by-tarsha-lim-60356860
"RM 2,350,000","Jalan Alam Sutera, Bukit Jalil, Kuala Lumpur","Listed on Aug 13, 2025 (2d ago)","3,000 sqft (floor),",4 Beds,4 Baths,Semi-Detached House,Leasehold,https://www.propertyguru.com.my/property-listing/semi-d-house-at-bukit-jalil-for-sale-by-abby-chew-42587032
