Price,Location,Posted,Size (sqft),Bedrooms,Bathrooms,Tenure,URL,Facilities
"RM 200,000","Simfoni @ Eco Majestic, Semenyih","Apartment For Sale, listed 45 minutes ago",750,3,2,Freehold,https://www.mudah.my/f-loan-gatedguard-mv-simfoni-apartment-eco-majestic-kajang-semenyih-111165236.htm,"Parking, Security, Lift, Playground, Minimart, Multipurpose hall"
"RM 360,000","T-Parkland @ Templer Park, Rawang","Condominium For Sale, listed 45 minutes ago","1,210",3,3,Leasehold,https://www.mudah.my/t-parkland-rawang-condo-3r3b-side-by-side-parking-111234773.htm,"Parking, Security, Lift, Swimming Pool, Playground, Barbeque area, Multipurpose hall"
"RM 330,000","Impian Heights, Puchong","Condominium For Sale, listed 45 minutes ago","1,069",3,2,Freehold,https://www.mudah.my/impian-heights-fully-furnished-unit-for-sale-111230685.htm,"Parking, Security, Lift, Swimming Pool, Playground, Gymnasium, Sauna, Barbeque area, Minimart, Multipurpose hall, Club house, Jogging Track, Tennis Court, Squash Court"
"RM 110,000","Pusat Hentian Kajang, Kajang","Flat For Sale, listed 45 minutes ago",766,3,2,Freehold,https://www.mudah.my/apartment-pusat-hentian-kajang-111233900.htm,Minimart
"RM 400,000","Shang Villa, Kelana Jaya","Condominium For Sale, listed 45 minutes ago","1,281",3,2,Freehold,https://www.mudah.my/shang-villa-condo-kelana-jaya-freehold-block-a-middle-floor-111280156.htm,"Parking, Security, Lift, Swimming Pool, Playground, Gymnasium, Sauna, Barbeque area, Minimart, Multipurpose hall, Club house, Jogging Track, Tennis Court, Squash Court"
"RM 400,000","Aman 1 Tropicana Urban Homes, Kuala Langat","Condominium For Sale, listed 45 minutes ago","1,000",3,2,Leasehold,https://www.mudah.my/condo-for-sale-at-tropicana-aman-1-urban-homes-block-a-3a-08-111234786.htm,"Parking, Security, Lift, Swimming Pool, Playground, Gymnasium, Barbeque area, Multipurpose hall"
"RM 160,000","Rista Villa Apartment, Puchong","Apartment For Sale, listed 45 minutes ago",606,3,1,Leasehold,https://www.mudah.my/cashback-full-loan-lower-floor-rista-villa-taman-putra-perdana-puchong-110299274.htm,"Parking, Security, Playground"
"RM 210,000","Astana Alam Apartment 3, Puncak Alam","Apartment For Sale, listed 45 minutes ago",760,3,2,Leasehold,https://www.mudah.my/astana-alam-3-blok-permata-111234356.htm,"Parking, Security"
"RM 210,000","Simfoni @ Eco Majestic, Semenyih","Apartment For Sale, listed 45 minutes ago",750,3,2,Freehold,https://www.mudah.my/apartment-for-sell-direct-owner-111227780.htm,"Parking, Security, Lift, Playground, Barbeque area, Multipurpose hall"
"RM 550,000","Perdana Emerald, Damansara Perdana","Condominium For Sale, listed 45 minutes ago",977,3,2,Leasehold,https://www.mudah.my/fully-furnished-perdana-emerald-condominium-110099310.htm,"Parking, Security, Lift, Swimming Pool, Playground, Gymnasium, Sauna, Barbeque area, Multipurpose hall, Club house, Jogging Track, Tennis Court"
"RM 290,000","Jati 1 Apartment, Subang Jaya","Apartment For Sale, listed 45 minutes ago",860,3,2,Leasehold,https://www.mudah.my/jati-1-apartment-usj-1-111234039.htm,"Parking, Security, Lift, Swimming Pool, Playground, Gymnasium"
"RM 184,000","Pusat Hentian Kajang, Kajang","Flat For Sale, listed 45 minutes ago",728,3,1,Freehold,https://www.mudah.my/hentian-kajang-shop-apartment-for-sale-111070784.htm,Timeout
"RM 230,000","The Domain @ NeoCyber, Cyberjaya","Service Residence For Sale, listed 46 minutes ago",601,1,2,Freehold,https://www.mudah.my/domain-fully-furnished-service-apartment-in-cyberjaya-111161323.htm,"Parking, Security, Lift, Swimming Pool, Playground, Gymnasium, Barbeque area, Minimart, Multipurpose hall, Club house, Jogging Track"
"RM 300,000","Desa Mutiara, Mutiara Damansara","Apartment For Sale, listed 46 minutes ago",680,3,1,Freehold,https://www.mudah.my/desa-mutiara-block-h-direct-owner-111226838.htm,"Parking, Security, Playground, Multipurpose hall, Jogging Track"
"RM 275,000","Pangsapuri Seri Utama, Puchong","Apartment For Sale, listed 46 minutes ago",750,3,2,Freehold,https://www.mudah.my/apartment-in-puchong-111234942.htm,"Parking, Security, Lift, Swimming Pool, Playground, Barbeque area, Minimart, Multipurpose hall, Club house, Jogging Track, Tennis Court, Squash Court"
"RM 420,000","Cheras, Selangor","Apartment For Sale, listed 46 minutes ago",850,3,2,Freehold,https://www.mudah.my/residensi-apartment-111227633.htm,"Parking, Security, Lift, Swimming Pool, Playground, Gymnasium, Sauna, Barbeque area, Minimart, Multipurpose hall, Club house, Jogging Track, Tennis Court"
"RM 270,000","Venice Hill, Cheras","Condominium For Sale, listed 46 minutes ago","1,400",3,2,Freehold,https://www.mudah.my/no-blocking-view-110828126.htm,"Parking, Security, Lift, Swimming Pool, Playground, Gymnasium, Barbeque area, Minimart, Club house"
"RM 390,000","Armani Suite @ The Glenz, Glenmarie","Service Residence For Sale, listed 47 minutes ago",485,1,1,Freehold,https://www.mudah.my/glenz-vestland-commercial-centre-110463150.htm,"Parking, Security, Lift, Swimming Pool, Playground, Gymnasium, Minimart"
"RM 600,000","Petaling Jaya, Selangor","Condominium For Sale, listed 47 minutes ago","1,269",4,2,Freehold,https://www.mudah.my/cloudtree-cheras-111228840.htm,"Parking, Security, Lift, Swimming Pool, Playground, Gymnasium, Sauna, Barbeque area, Multipurpose hall, Tennis Court"
"RM 230,000","Taman Pinggiran Batu Caves Flat, Batu Caves","Flat For Sale, listed 47 minutes ago",770,3,1,Leasehold,https://www.mudah.my/apartment-taman-pinggiran-batu-caves-110528691.htm,"Parking, Security, Playground, Minimart"
"RM 270,000","Amcorp Serviced Suites, Petaling Jaya","Studio For Sale, listed 47 minutes ago",497,1,1,Leasehold,https://www.mudah.my/amcorp-service-suite-111226383.htm,"Parking, Security, Lift, Swimming Pool, Playground, Gymnasium, Sauna, Barbeque area, Minimart, Multipurpose hall"
