Price,Location,Posted,Size (sqft),Bedrooms,Bathrooms,Tenure,URL,Facilities
"RM 370,000","Metroview Condominium, Wangsa Maju","Condominium For Sale, listed 11 hours ago","1,150",3,2,Freehold,https://www.mudah.my/wangsa-metroview-condominium-wangsa-maju-111015418.htm,"Parking, Security, Lift, Swimming Pool, Playground, Gymnasium, Barbeque area, Minimart"
"RM 410,000","Platinum Hill PV 5, Setapak","Condominium For Sale, listed 11 hours ago","1,272",4,2,Freehold,https://www.mudah.my/platinum-hill-pv5-setapak-kl-111090991.htm,"Parking, Security, Lift, Swimming Pool, Playground, Gymnasium, Barbeque area, Minimart, Multipurpose hall, Jogging Track"
"RM 388,000","KLCC, Kuala Lumpur","Condominium For Sale, listed 11 hours ago",800,2,2,Freehold,https://www.mudah.my/50m-to-mrt-400m-to-klcc-free-instalment-investment-condo-grr-13-108037936.htm,"Parking, Security, Lift, Swimming Pool, Playground, Gymnasium, Sauna, Barbeque area, Minimart, Multipurpose hall, Club house, Jogging Track, Tennis Court, Squash Court"
"RM 378,000","KLCC, Kuala Lumpur","Service Residence For Sale, listed 11 hours ago",718,2,2,Freehold,https://www.mudah.my/50m-to-lrt-400m-to-klcc-investment-condo-grr-8-108624730.htm,"Parking, Security, Lift, Swimming Pool, Playground, Gymnasium, Sauna, Barbeque area, Minimart, Multipurpose hall, Club house, Jogging Track, Tennis Court, Squash Court"
"RM 379,000","KLCC, Kuala Lumpur","New Service Residence For Sale, listed 11 hours ago",625,2,1,Freehold,https://www.mudah.my/klcc-grr-up-to-15-fully-furnished-free-10-year-instalment-111100351.htm,"Parking, Security, Lift, Swimming Pool, Playground, Gymnasium, Sauna, Barbeque area, Minimart, Multipurpose hall, Club house, Jogging Track, Tennis Court, Squash Court"
"RM 381,060","KLCC, Kuala Lumpur","Condominium For Sale, listed 11 hours ago",800,2,1,Freehold,https://www.mudah.my/50m-to-klcc-klcc-investment-condo-fully-furnished-monthly-1-8k-108038067.htm,"Parking, Security, Lift, Swimming Pool, Playground, Gymnasium, Sauna, Barbeque area, Minimart, Multipurpose hall, Club house, Jogging Track, Tennis Court, Squash Court"
"RM 340,000","28 Boulevard, Pandan Perdana","Service Residence For Sale, listed 11 hours ago",450,1,1,Leasehold,https://www.mudah.my/28-bouvelard-studio-unit-5-star-facilities-1-car-park-108939848.htm,"Parking, Security, Lift, Swimming Pool, Playground, Gymnasium, Barbeque area, Multipurpose hall"
"RM 320,000","Pandan Utama, Ampang","Apartment For Sale, listed 12 hours ago",945,3,2,Leasehold,https://www.mudah.my/pandan-utama-apartment-full-loan-low-depo-fully-reno-ampang-110196241.htm,"Parking, Security, Lift, Swimming Pool, Playground, Minimart"
"RM 330,000","Residensi Alam Damai (PR1MA @ Alam Damai), Cheras","Apartment For Sale, listed 12 hours ago",935,3,2,Leasehold,https://www.mudah.my/residensi-alam-damai-cheras-935sqft-100-loan-2-parking-110676881.htm,"Parking, Security, Lift, Playground, Multipurpose hall"
"RM 318,000","The Mark, Cheras","Service Residence For Sale, listed 12 hours ago",618,1,1,Leasehold,https://www.mudah.my/the-mark-cheras-studio-unit-low-deposit-full-loan-cash-back-111264491.htm,"Parking, Security, Lift, Swimming Pool, Playground, Gymnasium, Sauna, Barbeque area, Multipurpose hall, Club house, Jogging Track"
