Price,Location,Posted,Size (sqft),Bedrooms,Bathrooms,Property Type,Tenure,URL,Facilities
"RM 350,000","jalan 2, Taman Bukit Teratai, Ampang, Kuala Lumpur","Listed on Aug 08, 2025 (1w ago)","1,100 sqft (floor),",3 Beds,2 Baths,Townhouse,Leasehold,https://www.propertyguru.com.my/property-listing/townhouse-at-taman-bukit-teratai-bukit-teratai-ampang-kl-for-sale-by-celine-kong-43046035,"Parking, Playground"
"RM 1,000,000","- Jalan Ritchie, KL City Centre, Kuala Lumpur","Listed on Aug 07, 2025 (1w ago)","1,650 sqft",4 Beds,3 Baths,Completion: 2014,Freehold,https://www.propertyguru.com.my/property-listing/ampang-971-for-sale-by-calvin-chin-60336579,"24 hours security, Bbq, Gym, Jogging track"
"RM 1,700,000","Jalan 6/4, Taman Melawati, Ulu Kelang, Kuala Lumpur","Listed on Aug 07, 2025 (1w ago)","3,064 sqft (floor),",4 Beds,4 Baths,Townhouse,Freehold,https://www.propertyguru.com.my/property-listing/sunway-montana-for-sale-by-calvin-chin-43203488,"24 hours security, Clubhouse, Playground"
"RM 420,000","Jalan Lagenda 8, Cheras 9 Miles, Cheras, Kuala Lumpur","Listed on Aug 07, 2025 (1w ago)","1,100 sqft (floor),",3 Beds,2 Baths,Townhouse,Freehold,https://www.propertyguru.com.my/property-listing/taman-lagenda-mas-for-sale-by-elly-chong-41456768,"24 hours security, Parking"
"RM 1,650,000","Jalan 6/4, Taman Melawati, Ulu Kelang, Kuala Lumpur","Listed on Aug 07, 2025 (1w ago)","2,440 sqft (floor),",4 Beds,3 Baths,Townhouse,Freehold,https://www.propertyguru.com.my/property-listing/sunway-montana-for-sale-by-william-wong-38569991,"24 hours security, Clubhouse, Playground"
"RM 1,530,000","Jalan 6/4, Taman Melawati, Ulu Kelang, Kuala Lumpur","Listed on Aug 07, 2025 (1w ago)","2,449 sqft (floor),",4 Beds,4 Baths,Townhouse,Freehold,https://www.propertyguru.com.my/property-listing/sunway-montana-for-sale-by-william-wong-30376973,"24 hours security, Clubhouse, Playground"
"RM 2,650,000","Jalan Inai Besar, Sunway Spk Damansara, Sunway Spk, Kuala Lumpur","Listed on Aug 07, 2025 (1w ago)","2,800 sqft (floor),",4 Beds+1,5 Baths,Completion: 2015,Freehold,https://www.propertyguru.com.my/property-listing/sunway-spk-3-harmoni-for-sale-by-steven-lim-500012975,"24 hours security, Bbq, Gym, Jogging track"
"RM 1,250,000","- Jalan Ritchie, KL City Centre, Kuala Lumpur","Listed on Aug 07, 2025 (1w ago)","1,600 sqft (floor),",4 Beds,3 Baths,Completion: 2014,Freehold,https://www.propertyguru.com.my/property-listing/ampang-971-for-sale-by-mad-phang-60332793,"24 hours security, Bbq, Gym, Jogging track"
"RM 1,880,000","Jalan Medang Kapas, Bangsar, Kuala Lumpur","Listed on Aug 07, 2025 (1w ago)","1,572 sqft",3 Beds,2 Baths,Townhouse,Freehold,https://www.propertyguru.com.my/property-listing/verona-town-villas-for-sale-by-hooi-karlmen-42850673,Parking
"RM 885,000","Mont Kiara, Kuala Lumpur","Listed on Aug 07, 2025 (1w ago)","1,367 sqft",3 Beds,3 Baths,Townhouse,,https://www.propertyguru.com.my/property-listing/residensi-harmoni-townhouse-kayu-ara-bandar-utama-for-sale-by-norafizah-gapar-60331918,Not Listed
