Price,Location,Posted,Size (sqft),Bedrooms,Bathrooms,Property Type,Tenure,URL
"RM 1,400,000","Taman Tun Dr Ismail, Kuala Lumpur","Listed on Aug 10, 2025 (5d ago)","1,600 sqft (floor),",3 Beds,2 Baths,1-storey Terraced House,,https://www.propertyguru.com.my/property-listing/taman-tun-dr-ismail-for-sale-by-yin-peng-60337356
"RM 510,000","Bandar Sri Menjalara 62b Taman Bukit Maluri, Bandar Menjalara, Kuala Lumpur","Listed on Aug 09, 2025 (5d ago)","1,200 sqft (floor),",3 Beds,2 Baths,2-storey Terraced House,Freehold,https://www.propertyguru.com.my/property-listing/bandar-menjalara-62b-for-sale-by-mandy-liew-42540170
"RM 890,000","70-88 Jalan 16, Selayang - Kepong Highway, Kepong, Kuala Lumpur","Listed on Aug 09, 2025 (6d ago)","1,300 sqft (floor),",4 Beds,2 Baths,Terraced House,Leasehold,https://www.propertyguru.com.my/property-listing/taman-desa-jaya-kepong-for-sale-by-desmond-kok-43197525
"RM 580,000","Tmn Bunga Raya, Desa Setapak, Tmn Melati, Setapak Indah, Sri Rampai, Setapak Jaya, Setapak Rejang, Taman Bunga Raya, Setapak, Kuala Lumpur","Listed on Aug 15, 2025 (2m ago)","1,300 sqft (floor),",8 Beds,2 Baths,1-storey Terraced House,Freehold,https://www.propertyguru.com.my/property-listing/1-storey-terraced-house-at-taman-bunga-raya-for-sale-by-amber-ng-60366478
"RM 580,000","Tmn Bunga Raya, Desa Setapak, Tmn Melati, Setapak Indah, Sri Rampai, Setapak Jaya, Setapak Rejang, Taman Bunga Raya, Setapak, Kuala Lumpur","Listed on Aug 15, 2025 (3m ago)","1,300 sqft (floor),",8 Beds,2 Baths,1-storey Terraced House,Freehold,https://www.propertyguru.com.my/property-listing/1-storey-terraced-house-at-taman-bunga-raya-for-sale-by-amber-ng-60366475
"RM 1,030,000","Jalan Mas 2, Taman Esplanad, Bukit Jalil, Kuala Lumpur","Listed on Aug 15, 2025 (7m ago)","3,100 sqft (floor),",6 Beds,5 Baths,3-storey Terraced House,Freehold,https://www.propertyguru.com.my/property-listing/kinrara-mas-bukit-jalil-for-sale-by-ck-yee-43282761
"RM 1,450,000","Kepong Baru, Taman Sinar Suria, Kepong, Kuala Lumpur","Listed on Aug 15, 2025 (15m ago)","3,000 sqft (floor),",5 Beds,4 Baths,Completion: 2000,Freehold,https://www.propertyguru.com.my/property-listing/kepong-for-sale-by-adan-soh-60366379
"RM 788,000","Kepong Baru, Kepong, Kuala Lumpur","Listed on Aug 15, 2025 (20m ago)","1,100 sqft (floor),",3 Beds,2 Baths,Completion: 2000,Freehold,https://www.propertyguru.com.my/property-listing/kepong-baru-for-sale-by-adan-soh-60366324
"RM 1,180,000","Taman Petaling, Kepong, Kuala Lumpur","Listed on Aug 15, 2025 (27m ago)","1,200 sqft (floor),",4 Beds,2 Baths,Completion: 2000,Freehold,https://www.propertyguru.com.my/property-listing/taman-petaling-for-sale-by-adan-soh-60366242
"RM 2,980,000","Sunway Spk, Kuala Lumpur","Listed on Aug 15, 2025 (35m ago)","2,978 sqft (floor),",6 Beds,6 Baths,Completion: 2000,Freehold,https://www.propertyguru.com.my/property-listing/sunway-spk-for-sale-by-adan-soh-60366205
"RM 1,200,000","Bandar Menjalara,Taman Bukit Maluri,Kepong, Bandar Menjalara, Kuala Lumpur","Listed on Aug 15, 2025 (46m ago)","2,200 sqft (floor),",4 Beds,3 Baths,Completion: 2000,Freehold,https://www.propertyguru.com.my/property-listing/bandar-menjalara-for-sale-by-adan-soh-60366156
